Run Number,Normal Fertility Rate,Normal Death Risk,Max chicken capacity,Initial number of eggs,Initial chicken population,Eggs,Chickens
Run 70,0.02,1.0,1500.0,1100.0,500.0,"0     1100.000000
1      910.000000
2      758.000000
3      636.400000
4      539.120000
5      461.296000
6      399.036800
7      349.229440
8      309.383552
9      277.506842
10     252.005473
11     231.604379
12     215.283503
13     202.226802
14     191.781442
15     183.425153
16     176.740123
17     171.392098
18     167.113679
19     163.690943
20     160.952754
21     158.762203
22     157.009763
23     155.607810
24     154.486248
25     153.588999
26     152.871199
27     152.296959
28     151.837567
29     151.470054
30     151.176043
31     150.940834
32     150.752668
33     150.602134
34     150.481707
35     150.385366
36     150.308293
37     150.246634
38     150.197307
39     150.157846
40     150.126277
41     150.101021
42     150.080817
43     150.064654
44     150.051723
45     150.041378
46     150.033103
47     150.026482
48     150.021186
49     150.016949
50     150.013559
Name: Eggs, dtype: float64","0     500.000000
1     553.333333
2     531.214815
3     494.688695
4     458.824092
5     426.301727
6     397.405485
7     371.925432
8     349.552302
9     329.971138
10    312.885205
11    298.021532
12    285.131185
13    273.988024
14    264.387093
15    256.143025
16    249.088556
17    243.073175
18    237.961882
19    233.634046
20    229.982323
21    226.911628
22    224.338144
23    222.188361
24    220.398145
25    218.911833
26    217.681372
27    216.665492
28    215.828927
29    215.141690
30    214.578403
31    214.117684
32    213.741596
33    213.435150
34    213.185868
35    212.983400
36    212.819187
37    212.686175
38    212.578562
39    212.491594
40    212.421378
41    212.364739
42    212.319088
43    212.282321
44    212.252729
45    212.228927
46    212.209791
47    212.194414
48    212.182065
49    212.172149
50    212.164192
Name: Chickens, dtype: float64"
Run 71,0.02,1.0,1500.0,1100.0,800.0,"0     1100.000000
1      910.000000
2      758.000000
3      636.400000
4      539.120000
5      461.296000
6      399.036800
7      349.229440
8      309.383552
9      277.506842
10     252.005473
11     231.604379
12     215.283503
13     202.226802
14     191.781442
15     183.425153
16     176.740123
17     171.392098
18     167.113679
19     163.690943
20     160.952754
21     158.762203
22     157.009763
23     155.607810
24     154.486248
25     153.588999
26     152.871199
27     152.296959
28     151.837567
29     151.470054
30     151.176043
31     150.940834
32     150.752668
33     150.602134
34     150.481707
35     150.385366
36     150.308293
37     150.246634
38     150.197307
39     150.157846
40     150.126277
41     150.101021
42     150.080817
43     150.064654
44     150.051723
45     150.041378
46     150.033103
47     150.026482
48     150.021186
49     150.016949
50     150.013559
Name: Eggs, dtype: float64","0     800.000000
1     593.333333
2     540.637037
3     497.378100
4     459.734784
5     426.654736
6     397.557760
7     371.997005
8     349.588379
9     329.990399
10    312.895992
11    298.027819
12    285.134974
13    273.990372
14    264.388583
15    256.143990
16    249.089191
17    243.073599
18    237.962169
19    233.634242
20    229.982458
21    226.911722
22    224.338209
23    222.188407
24    220.398177
25    218.911856
26    217.681388
27    216.665504
28    215.828935
29    215.141696
30    214.578407
31    214.117687
32    213.741598
33    213.435151
34    213.185869
35    212.983400
36    212.819188
37    212.686175
38    212.578563
39    212.491594
40    212.421378
41    212.364739
42    212.319088
43    212.282321
44    212.252730
45    212.228927
46    212.209791
47    212.194414
48    212.182065
49    212.172149
50    212.164192
Name: Chickens, dtype: float64"
Run 72,0.02,1.0,1500.0,1100.0,1100.0,"0     1100.000000
1      910.000000
2      758.000000
3      636.400000
4      539.120000
5      461.296000
6      399.036800
7      349.229440
8      309.383552
9      277.506842
10     252.005473
11     231.604379
12     215.283503
13     202.226802
14     191.781442
15     183.425153
16     176.740123
17     171.392098
18     167.113679
19     163.690943
20     160.952754
21     158.762203
22     157.009763
23     155.607810
24     154.486248
25     153.588999
26     152.871199
27     152.296959
28     151.837567
29     151.470054
30     151.176043
31     150.940834
32     150.752668
33     150.602134
34     150.481707
35     150.385366
36     150.308293
37     150.246634
38     150.197307
39     150.157846
40     150.126277
41     150.101021
42     150.080817
43     150.064654
44     150.051723
45     150.041378
46     150.033103
47     150.026482
48     150.021186
49     150.016949
50     150.013559
Name: Eggs, dtype: float64","0     1100.000000
1      513.333333
2      519.659259
3      491.228762
4      457.638298
5      425.840423
6      397.206246
7      371.831738
8      349.505065
9      329.945915
10     312.871079
11     298.013299
12     285.126224
13     273.984949
14     264.385141
15     256.141761
16     249.087724
17     243.072619
18     237.961507
19     233.633790
20     229.982147
21     226.911506
22     224.338059
23     222.188302
24     220.398103
25     218.911803
26     217.681351
27     216.665477
28     215.828916
29     215.141682
30     214.578397
31     214.117680
32     213.741593
33     213.435148
34     213.185866
35     212.983399
36     212.819186
37     212.686174
38     212.578562
39     212.491593
40     212.421378
41     212.364739
42     212.319088
43     212.282321
44     212.252729
45     212.228927
46     212.209791
47     212.194414
48     212.182065
49     212.172149
50     212.164192
Name: Chickens, dtype: float64"
Run 73,0.02,1.0,2000.0,500.0,500.0,"0     500.000000
1     440.000000
2     392.000000
3     353.600000
4     322.880000
5     298.304000
6     278.643200
7     262.914560
8     250.331648
9     240.265318
10    232.212255
11    225.769804
12    220.615843
13    216.492674
14    213.194140
15    210.555312
16    208.444249
17    206.755399
18    205.404320
19    204.323456
20    203.458765
21    202.767012
22    202.213609
23    201.770887
24    201.416710
25    201.133368
26    200.906694
27    200.725355
28    200.580284
29    200.464228
30    200.371382
31    200.297106
32    200.237684
33    200.190148
34    200.152118
35    200.121694
36    200.097356
37    200.077884
38    200.062308
39    200.049846
40    200.039877
41    200.031901
42    200.025521
43    200.020417
44    200.016334
45    200.013067
46    200.010453
47    200.008363
48    200.006690
49    200.005352
50    200.004282
Name: Eggs, dtype: float64","0     500.000000
1     475.000000
2     450.187500
3     427.253107
4     406.700499
5     388.573851
6     372.739832
7     359.000981
8     347.143041
9     336.955225
10    328.238877
11    320.810948
12    314.505076
13    309.171523
14    304.676543
15    300.901473
16    297.741687
17    295.105481
18    292.912938
19    291.094807
20    289.591405
21    288.351567
22    287.331656
23    286.494638
24    285.809227
25    285.249112
26    284.792257
27    284.420281
28    284.117904
29    283.872469
30    283.673525
31    283.512467
32    283.382229
33    283.277022
34    283.192116
35    283.123652
36    283.068490
37    283.024076
38    282.988339
39    282.959601
40    282.936502
41    282.917945
42    282.903044
43    282.891082
44    282.881483
45    282.873783
46    282.867608
47    282.862657
48    282.858688
49    282.855507
50    282.852959
Name: Chickens, dtype: float64"
Run 74,0.02,1.0,2000.0,500.0,800.0,"0     500.000000
1     440.000000
2     392.000000
3     353.600000
4     322.880000
5     298.304000
6     278.643200
7     262.914560
8     250.331648
9     240.265318
10    232.212255
11    225.769804
12    220.615843
13    216.492674
14    213.194140
15    210.555312
16    208.444249
17    206.755399
18    205.404320
19    204.323456
20    203.458765
21    202.767012
22    202.213609
23    201.770887
24    201.416710
25    201.133368
26    200.906694
27    200.725355
28    200.580284
29    200.464228
30    200.371382
31    200.297106
32    200.237684
33    200.190148
34    200.152118
35    200.121694
36    200.097356
37    200.077884
38    200.062308
39    200.049846
40    200.039877
41    200.031901
42    200.025521
43    200.020417
44    200.016334
45    200.013067
46    200.010453
47    200.008363
48    200.006690
49    200.005352
50    200.004282
Name: Eggs, dtype: float64","0     800.000000
1     580.000000
2     499.800000
3     453.299980
4     421.279544
5     397.117317
6     377.927035
7     362.241253
8     349.214802
9     338.305643
10    329.133353
11    321.411422
12    314.912731
13    309.450886
14    304.869495
15    301.035619
16    297.835459
17    295.171329
18    292.959352
19    291.127625
20    289.614669
21    288.368094
22    287.343417
23    286.503019
24    285.815207
25    285.253383
26    284.795310
27    284.422465
28    284.119467
29    283.873588
30    283.674326
31    283.513041
32    283.382640
33    283.277317
34    283.192327
35    283.123804
36    283.068598
37    283.024154
38    282.988395
39    282.959641
40    282.936531
41    282.917966
42    282.903058
43    282.891092
44    282.881491
45    282.873789
46    282.867612
47    282.862660
48    282.858690
49    282.855509
50    282.852960
Name: Chickens, dtype: float64"
Run 75,0.02,1.0,2000.0,500.0,1100.0,"0     500.000000
1     440.000000
2     392.000000
3     353.600000
4     322.880000
5     298.304000
6     278.643200
7     262.914560
8     250.331648
9     240.265318
10    232.212255
11    225.769804
12    220.615843
13    216.492674
14    213.194140
15    210.555312
16    208.444249
17    206.755399
18    205.404320
19    204.323456
20    203.458765
21    202.767012
22    202.213609
23    201.770887
24    201.416710
25    201.133368
26    200.906694
27    200.725355
28    200.580284
29    200.464228
30    200.371382
31    200.297106
32    200.237684
33    200.190148
34    200.152118
35    200.121694
36    200.097356
37    200.077884
38    200.062308
39    200.049846
40    200.039877
41    200.031901
42    200.025521
43    200.020417
44    200.016334
45    200.013067
46    200.010453
47    200.008363
48    200.006690
49    200.005352
50    200.004282
Name: Eggs, dtype: float64","0     1100.000000
1      595.000000
2      505.987500
3      456.375825
4      422.956378
5      398.086329
6      378.510766
7      362.604206
8      349.446213
9      338.456215
10     329.232974
11     321.478249
12     314.958078
13     309.481951
14     304.890947
15     301.050530
16     297.845882
17     295.178647
18     292.964510
19     291.131272
20     289.617254
21     288.369930
22     287.344724
23     286.503951
24     285.815871
25     285.253857
26     284.795649
27     284.422707
28     284.119640
29     283.873712
30     283.674415
31     283.513105
32     283.382686
33     283.277349
34     283.192350
35     283.123820
36     283.068610
37     283.024162
38     282.988401
39     282.959645
40     282.936534
41     282.917968
42     282.903060
43     282.891094
44     282.881492
45     282.873789
46     282.867612
47     282.862660
48     282.858690
49     282.855509
50     282.852960
Name: Chickens, dtype: float64"
Run 76,0.02,1.0,2000.0,800.0,500.0,"0     800.000000
1     680.000000
2     584.000000
3     507.200000
4     445.760000
5     396.608000
6     357.286400
7     325.829120
8     300.663296
9     280.530637
10    264.424509
11    251.539608
12    241.231686
13    232.985349
14    226.388279
15    221.110623
16    216.888499
17    213.510799
18    210.808639
19    208.646911
20    206.917529
21    205.534023
22    204.427219
23    203.541775
24    202.833420
25    202.266736
26    201.813389
27    201.450711
28    201.160569
29    200.928455
30    200.742764
31    200.594211
32    200.475369
33    200.380295
34    200.304236
35    200.243389
36    200.194711
37    200.155769
38    200.124615
39    200.099692
40    200.079754
41    200.063803
42    200.051042
43    200.040834
44    200.032667
45    200.026134
46    200.020907
47    200.016726
48    200.013380
49    200.010704
50    200.008563
Name: Eggs, dtype: float64","0     500.000000
1     535.000000
2     527.887500
3     505.354894
4     479.103109
5     453.485215
6     429.982395
7     408.997245
8     390.523696
9     374.401976
10    360.419684
11    348.353411
12    337.986283
13    329.115257
14    321.553900
15    315.133101
16    309.700790
17    305.121200
18    301.273886
19    298.052637
20    295.364332
21    293.127793
22    291.272646
23    289.738213
24    288.472452
25    287.430958
26    286.576027
27    285.875795
28    285.303452
29    284.836536
30    284.456301
31    284.147160
32    283.896198
33    283.692746
34    283.528018
35    283.394797
36    283.287169
37    283.200301
38    283.130250
39    283.073804
40    283.028353
41    282.991779
42    282.962366
43    282.938724
44    282.919730
45    282.904477
46    282.892232
47    282.882406
48    282.874523
49    282.868201
50    282.863133
Name: Chickens, dtype: float64"
Run 77,0.02,1.0,2000.0,800.0,800.0,"0     800.000000
1     680.000000
2     584.000000
3     507.200000
4     445.760000
5     396.608000
6     357.286400
7     325.829120
8     300.663296
9     280.530637
10    264.424509
11    251.539608
12    241.231686
13    232.985349
14    226.388279
15    221.110623
16    216.888499
17    213.510799
18    210.808639
19    208.646911
20    206.917529
21    205.534023
22    204.427219
23    203.541775
24    202.833420
25    202.266736
26    201.813389
27    201.450711
28    201.160569
29    200.928455
30    200.742764
31    200.594211
32    200.475369
33    200.380295
34    200.304236
35    200.243389
36    200.194711
37    200.155769
38    200.124615
39    200.099692
40    200.079754
41    200.063803
42    200.051042
43    200.040834
44    200.032667
45    200.026134
46    200.020907
47    200.016726
48    200.013380
49    200.010704
50    200.008563
Name: Eggs, dtype: float64","0     800.000000
1     640.000000
2     571.200000
3     524.865280
4     488.563499
5     458.368353
6     432.639179
7     410.508130
8     391.415491
9     374.945107
10    360.759318
11    348.570577
12    338.127775
13    329.208916
14    321.616731
15    315.175726
16    309.729981
17    305.141350
18    301.287888
19    298.062420
20    295.371199
21    293.132632
22    291.276067
23    289.740637
24    288.474174
25    287.432183
26    286.576900
27    285.876418
28    285.303897
29    284.836854
30    284.456528
31    284.147323
32    283.896315
33    283.692830
34    283.528078
35    283.394840
36    283.287200
37    283.200323
38    283.130266
39    283.073815
40    283.028361
41    282.991785
42    282.962371
43    282.938727
44    282.919732
45    282.904478
46    282.892233
47    282.882407
48    282.874524
49    282.868202
50    282.863133
Name: Chickens, dtype: float64"
Run 78,0.02,1.0,2000.0,800.0,1100.0,"0     800.000000
1     680.000000
2     584.000000
3     507.200000
4     445.760000
5     396.608000
6     357.286400
7     325.829120
8     300.663296
9     280.530637
10    264.424509
11    251.539608
12    241.231686
13    232.985349
14    226.388279
15    221.110623
16    216.888499
17    213.510799
18    210.808639
19    208.646911
20    206.917529
21    205.534023
22    204.427219
23    203.541775
24    202.833420
25    202.266736
26    201.813389
27    201.450711
28    201.160569
29    200.928455
30    200.742764
31    200.594211
32    200.475369
33    200.380295
34    200.304236
35    200.243389
36    200.194711
37    200.155769
38    200.124615
39    200.099692
40    200.079754
41    200.063803
42    200.051042
43    200.040834
44    200.032667
45    200.026134
46    200.020907
47    200.016726
48    200.013380
49    200.010704
50    200.008563
Name: Eggs, dtype: float64","0     1100.000000
1      655.000000
2      576.487500
3      527.118581
4      489.631582
5      458.914039
6      432.934591
7      410.675691
8      391.514254
9      375.005207
10     360.796882
11     348.594589
12     338.143417
13     329.219269
14     321.623675
15     315.180437
16     309.733208
17     305.143577
18     301.289436
19     298.063501
20     295.371958
21     293.133167
22     291.276445
23     289.740905
24     288.474364
25     287.432319
26     286.576997
27     285.876487
28     285.303946
29     284.836889
30     284.456553
31     284.147341
32     283.896327
33     283.692839
34     283.528084
35     283.394844
36     283.287203
37     283.200326
38     283.130267
39     283.073816
40     283.028362
41     282.991786
42     282.962371
43     282.938728
44     282.919733
45     282.904479
46     282.892233
47     282.882407
48     282.874524
49     282.868202
50     282.863133
Name: Chickens, dtype: float64"
Run 79,0.02,1.0,2000.0,1100.0,500.0,"0     1100.000000
1      920.000000
2      776.000000
3      660.800000
4      568.640000
5      494.912000
6      435.929600
7      388.743680
8      350.994944
9      320.795955
10     296.636764
11     277.309411
12     261.847529
13     249.478023
14     239.582419
15     231.665935
16     225.332748
17     220.266198
18     216.212959
19     212.970367
20     210.376294
21     208.301035
22     206.640828
23     205.312662
24     204.250130
25     203.400104
26     202.720083
27     202.176066
28     201.740853
29     201.392683
30     201.114146
31     200.891317
32     200.713053
33     200.570443
34     200.456354
35     200.365083
36     200.292067
37     200.233653
38     200.186923
39     200.149538
40     200.119631
41     200.095704
42     200.076564
43     200.061251
44     200.049001
45     200.039201
46     200.031360
47     200.025088
48     200.020071
49     200.016057
50     200.012845
Name: Eggs, dtype: float64","0     500.000000
1     595.000000
2     601.987500
3     575.993025
4     542.269043
5     508.969185
6     478.426770
7     451.166603
8     427.139687
9     406.114520
10    387.809209
11    371.938571
12    358.231303
13    346.435975
14    336.322638
15    327.682663
16    320.327886
17    314.089458
18    308.816604
19    304.375348
20    300.647245
21    297.528121
22    294.926837
23    292.764083
24    290.971211
25    289.489114
26    288.267161
27    287.262200
28    286.437627
29    285.762541
30    285.210962
31    284.761145
32    284.394954
33    284.097319
34    283.855765
35    283.659988
36    283.501510
37    283.373370
38    283.269868
39    283.186343
40    283.118998
41    283.064741
42    283.021058
43    282.985911
44    282.957648
45    282.934933
46    282.916685
47    282.902032
48    282.890270
49    282.880831
50    282.873260
Name: Chickens, dtype: float64"
Run 80,0.02,1.0,2000.0,1100.0,800.0,"0     1100.000000
1      920.000000
2      776.000000
3      660.800000
4      568.640000
5      494.912000
6      435.929600
7      388.743680
8      350.994944
9      320.795955
10     296.636764
11     277.309411
12     261.847529
13     249.478023
14     239.582419
15     231.665935
16     225.332748
17     220.266198
18     216.212959
19     212.970367
20     210.376294
21     208.301035
22     206.640828
23     205.312662
24     204.250130
25     203.400104
26     202.720083
27     202.176066
28     201.740853
29     201.392683
30     201.114146
31     200.891317
32     200.713053
33     200.570443
34     200.456354
35     200.365083
36     200.292067
37     200.233653
38     200.186923
39     200.149538
40     200.119631
41     200.095704
42     200.076564
43     200.061251
44     200.049001
45     200.039201
46     200.031360
47     200.025088
48     200.020071
49     200.016057
50     200.012845
Name: Eggs, dtype: float64","0     800.000000
1     700.000000
2     639.000000
3     590.039500
4     548.126194
5     511.633032
6     479.731252
7     451.846135
8     427.512406
9     406.327966
10    387.935949
11    372.016152
12    358.280025
13    346.467243
14    336.343072
15    327.696225
16    320.337004
17    314.095656
18    308.820855
19    304.378286
20    300.649289
21    297.529550
22    294.927841
23    292.764791
24    290.971712
25    289.489469
26    288.267414
27    287.262379
28    286.437755
29    285.762632
30    285.211028
31    284.761192
32    284.394987
33    284.097343
34    283.855782
35    283.660000
36    283.501519
37    283.373377
38    283.269872
39    283.186346
40    283.119001
41    283.064742
42    283.021059
43    282.985912
44    282.957649
45    282.934933
46    282.916685
47    282.902032
48    282.890270
49    282.880832
50    282.873260
Name: Chickens, dtype: float64"
Run 81,0.02,1.0,2000.0,1100.0,1100.0,"0     1100.000000
1      920.000000
2      776.000000
3      660.800000
4      568.640000
5      494.912000
6      435.929600
7      388.743680
8      350.994944
9      320.795955
10     296.636764
11     277.309411
12     261.847529
13     249.478023
14     239.582419
15     231.665935
16     225.332748
17     220.266198
18     216.212959
19     212.970367
20     210.376294
21     208.301035
22     206.640828
23     205.312662
24     204.250130
25     203.400104
26     202.720083
27     202.176066
28     201.740853
29     201.392683
30     201.114146
31     200.891317
32     200.713053
33     200.570443
34     200.456354
35     200.365083
36     200.292067
37     200.233653
38     200.186923
39     200.149538
40     200.119631
41     200.095704
42     200.076564
43     200.061251
44     200.049001
45     200.039201
46     200.031360
47     200.025088
48     200.020071
49     200.016057
50     200.012845
Name: Eggs, dtype: float64","0     1100.000000
1      715.000000
2      643.387500
3      591.613762
4      548.770340
5      511.923897
6      479.873259
7      451.920007
8      427.552896
9      406.351146
10     387.949710
11     372.024574
12     358.285314
13     346.470637
14     336.345290
15     327.697697
16     320.337994
17     314.096328
18     308.821316
19     304.378605
20     300.649511
21     297.529705
22     294.927950
23     292.764867
24     290.971766
25     289.489508
26     288.267441
27     287.262399
28     286.437769
29     285.762642
30     285.211035
31     284.761197
32     284.394991
33     284.097346
34     283.855783
35     283.660001
36     283.501520
37     283.373377
38     283.269873
39     283.186347
40     283.119001
41     283.064743
42     283.021059
43     282.985912
44     282.957649
45     282.934934
46     282.916685
47     282.902032
48     282.890270
49     282.880832
50     282.873260
Name: Chickens, dtype: float64"
Run 82,0.51,0.02,1000.0,500.0,500.0,"0      500.000000
1      910.000000
2     1238.000000
3     1500.400000
4     1710.320000
5     1878.256000
6     2012.604800
7     2120.083840
8     2206.067072
9     2274.853658
10    2329.882926
11    2373.906341
12    2409.125073
13    2437.300058
14    2459.840047
15    2477.872037
16    2492.297630
17    2503.838104
18    2513.070483
19    2520.456386
20    2526.365109
21    2531.092087
22    2534.873670
23    2537.898936
24    2540.319149
25    2542.255319
26    2543.804255
27    2545.043404
28    2546.034723
29    2546.827779
30    2547.462223
31    2547.969778
32    2548.375823
33    2548.700658
34    2548.960527
35    2549.168421
36    2549.334737
37    2549.467790
38    2549.574232
39    2549.659385
40    2549.727508
41    2549.782007
42    2549.825605
43    2549.860484
44    2549.888387
45    2549.910710
46    2549.928568
47    2549.942854
48    2549.954283
49    2549.963427
50    2549.970741
Name: Eggs, dtype: float64","0      500.000000
1      595.000000
2      769.919500
3     1005.663979
4     1285.516778
5     1594.529711
6     1919.330411
7     2248.174786
8     2571.105757
9     2880.107475
10    3169.177825
11    3434.280649
12    3673.176245
13    3885.156785
14    4070.727932
15    4231.279423
16    4368.779320
17    4485.514191
18    4583.885060
19    4666.259112
20    4734.870907
21    4791.763879
22    4838.762275
23    4877.464602
24    4909.251170
25    4935.300059
26    4956.607389
27    4974.009104
28    4988.202454
29    4999.766124
30    5009.178454
31    5016.833523
32    5023.055106
33    5028.108619
34    5032.211225
35    5035.540334
36    5038.240689
37    5040.430252
38    5042.205067
39    5043.643275
40    5044.808402
41    5045.752067
42    5046.516190
43    5047.134798
44    5047.635502
45    5048.040696
46    5048.368541
47    5048.633756
48    5048.848271
49    5049.021750
50    5049.162023
Name: Chickens, dtype: float64"
Run 83,0.51,0.02,1000.0,500.0,800.0,"0      500.000000
1      910.000000
2     1238.000000
3     1500.400000
4     1710.320000
5     1878.256000
6     2012.604800
7     2120.083840
8     2206.067072
9     2274.853658
10    2329.882926
11    2373.906341
12    2409.125073
13    2437.300058
14    2459.840047
15    2477.872037
16    2492.297630
17    2503.838104
18    2513.070483
19    2520.456386
20    2526.365109
21    2531.092087
22    2534.873670
23    2537.898936
24    2540.319149
25    2542.255319
26    2543.804255
27    2545.043404
28    2546.034723
29    2546.827779
30    2547.462223
31    2547.969778
32    2548.375823
33    2548.700658
34    2548.960527
35    2549.168421
36    2549.334737
37    2549.467790
38    2549.574232
39    2549.659385
40    2549.727508
41    2549.782007
42    2549.825605
43    2549.860484
44    2549.888387
45    2549.910710
46    2549.928568
47    2549.942854
48    2549.954283
49    2549.963427
50    2549.970741
Name: Eggs, dtype: float64","0      800.000000
1      887.200000
2     1053.457523
3     1278.862068
4     1546.232304
5     1840.479618
6     2148.383513
7     2458.593439
8     2761.716573
9     3050.388419
10    3319.261760
11    3564.888373
12    3785.501059
13    3980.725708
14    4151.262176
15    4298.570632
16    4424.590850
17    4531.510292
18    4621.586203
19    4697.019119
20    4759.870624
21    4812.016279
22    4855.124683
23    4890.654703
24    4919.864422
25    4943.826933
26    4963.449502
27    4979.493734
28    4992.595258
29    5003.282054
30    5011.990984
31    5019.082356
32    5024.852558
33    5029.544858
34    5033.358560
35    5036.456697
36    5038.972460
37    5041.014539
38    5042.671545
39    5044.015665
40    5045.105662
41    5045.989340
42    5046.705573
43    5047.285951
44    5047.756139
45    5048.136976
46    5048.445379
47    5048.695078
48    5048.897209
49    5049.060805
50    5049.193190
Name: Chickens, dtype: float64"
Run 84,0.51,0.02,1000.0,500.0,1100.0,"0      500.000000
1      910.000000
2     1238.000000
3     1500.400000
4     1710.320000
5     1878.256000
6     2012.604800
7     2120.083840
8     2206.067072
9     2274.853658
10    2329.882926
11    2373.906341
12    2409.125073
13    2437.300058
14    2459.840047
15    2477.872037
16    2492.297630
17    2503.838104
18    2513.070483
19    2520.456386
20    2526.365109
21    2531.092087
22    2534.873670
23    2537.898936
24    2540.319149
25    2542.255319
26    2543.804255
27    2545.043404
28    2546.034723
29    2546.827779
30    2547.462223
31    2547.969778
32    2548.375823
33    2548.700658
34    2548.960527
35    2549.168421
36    2549.334737
37    2549.467790
38    2549.574232
39    2549.659385
40    2549.727508
41    2549.782007
42    2549.825605
43    2549.860484
44    2549.888387
45    2549.910710
46    2549.928568
47    2549.942854
48    2549.954283
49    2549.963427
50    2549.970741
Name: Eggs, dtype: float64","0     1100.000000
1     1175.800000
2     1330.149887
3     1542.363913
4     1794.866184
5     2072.499292
6     2362.245425
7     2653.162316
8     2936.393679
9     3205.158936
10    3454.668792
11    3681.950648
12    3885.596705
13    4065.464484
14    4222.364466
15    4357.765242
16    4473.537291
17    4571.746099
18    4654.496472
19    4723.823821
20    4781.624868
21    4829.619162
22    4869.333155
23    4902.099781
24    4929.067923
25    4951.217541
26    4969.377502
27    4984.244098
28    4996.398994
29    5006.325881
30    5014.425460
31    5021.028651
32    5026.408032
33    5030.787643
34    5034.351288
35    5037.249536
36    5039.605562
37    5041.520025
38    5043.075100
39    5044.337817
40    5045.362814
41    5046.194597
42    5046.869400
43    5047.416706
44    5047.860495
45    5048.220261
46    5048.511847
47    5048.748123
48    5048.939542
49    5049.094589
50    5049.220151
Name: Chickens, dtype: float64"
Run 85,0.51,0.02,1000.0,800.0,500.0,"0      800.000000
1     1150.000000
2     1430.000000
3     1654.000000
4     1833.200000
5     1976.560000
6     2091.248000
7     2182.998400
8     2256.398720
9     2315.118976
10    2362.095181
11    2399.676145
12    2429.740916
13    2453.792733
14    2473.034186
15    2488.427349
16    2500.741879
17    2510.593503
18    2518.474803
19    2524.779842
20    2529.823874
21    2533.859099
22    2537.087279
23    2539.669823
24    2541.735859
25    2543.388687
26    2544.710950
27    2545.768760
28    2546.615008
29    2547.292006
30    2547.833605
31    2548.266884
32    2548.613507
33    2548.890806
34    2549.112645
35    2549.290116
36    2549.432093
37    2549.545674
38    2549.636539
39    2549.709231
40    2549.767385
41    2549.813908
42    2549.851126
43    2549.880901
44    2549.904721
45    2549.923777
46    2549.939021
47    2549.951217
48    2549.960974
49    2549.968779
50    2549.975023
Name: Eggs, dtype: float64","0      500.000000
1      655.000000
2      876.419500
3     1147.057277
4     1451.542469
5     1776.042958
6     2108.268387
7     2437.622075
8     2755.381727
9     3054.818902
10    3331.204327
11    3581.684918
12    3805.050810
13    4001.430759
14    4171.960343
15    4318.462119
16    4443.165287
17    4548.479307
18    4636.824728
19    4710.516817
20    4771.693412
21    4822.277026
22    4863.961732
23    4898.216713
24    4926.300138
25    4949.278649
26    4968.049203
27    4983.361136
28    4995.837123
29    5005.992354
30    5014.251566
31    5020.963912
32    5026.415716
33    5030.841319
34    5034.432192
35    5037.344571
36    5039.705788
37    5041.619518
38    5043.170105
39    5044.426119
40    5045.443268
41    5046.266789
42    5046.933401
43    5047.472891
44    5047.909420
45    5048.262574
46    5048.548229
47    5048.779249
48    5048.966054
49    5049.117084
50    5049.239174
Name: Chickens, dtype: float64"
Run 86,0.51,0.02,1000.0,800.0,800.0,"0      800.000000
1     1150.000000
2     1430.000000
3     1654.000000
4     1833.200000
5     1976.560000
6     2091.248000
7     2182.998400
8     2256.398720
9     2315.118976
10    2362.095181
11    2399.676145
12    2429.740916
13    2453.792733
14    2473.034186
15    2488.427349
16    2500.741879
17    2510.593503
18    2518.474803
19    2524.779842
20    2529.823874
21    2533.859099
22    2537.087279
23    2539.669823
24    2541.735859
25    2543.388687
26    2544.710950
27    2545.768760
28    2546.615008
29    2547.292006
30    2547.833605
31    2548.266884
32    2548.613507
33    2548.890806
34    2549.112645
35    2549.290116
36    2549.432093
37    2549.545674
38    2549.636539
39    2549.709231
40    2549.767385
41    2549.813908
42    2549.851126
43    2549.880901
44    2549.904721
45    2549.923777
46    2549.939021
47    2549.951217
48    2549.960974
49    2549.968779
50    2549.975023
Name: Eggs, dtype: float64","0      800.000000
1      947.200000
2     1159.256243
3     1418.378742
4     1708.942777
5     2017.173069
6     2331.105325
7     2640.673884
8     2937.810393
9     3216.475539
10    3472.585036
11    3703.827136
12    3909.395656
13    4089.676351
14    4245.925844
15    4379.974956
16    4493.976814
17    4590.208637
18    4670.927031
19    4738.270805
20    4794.202569
21    4840.479778
22    4878.646708
23    4910.040290
24    4935.804342
25    4956.908224
26    4974.167178
27    4988.262586
28    4999.761065
29    5009.131853
30    5016.762215
31    5022.970874
32    5028.019523
33    5032.122618
34    5035.455618
35    5038.161881
36    5040.358402
37    5042.140564
38    5043.586069
39    5044.758168
40    5045.708315
41    5046.478344
42    5047.102252
43    5047.607655
44    5048.016974
45    5048.348411
46    5048.616733
47    5048.833919
48    5049.009683
49    5049.151902
50    5049.266960
Name: Chickens, dtype: float64"
